Data properties:

Recording date: 2009/6/14
Recording time: 22:18:56:000 (corresponds to time 0)
Study: 1
Subject: wjc
Recording: Rec 04
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
1	138	17	716	728	
2	304	166	602	767	
3	471	167	472	786	
4	638	350	611	673	
5	987	150	811	788	
6	1287	383	552	553	
7	1670	167	435	703	
8	1837	966	636	744	
9	2803	167	555	441	
10	2969	300	335	410	
11	3269	200	332	355	
12	3469	150	382	641	
13	3619	166	325	763	
14	3785	150	615	643	
15	3935	383	603	430	
16	4318	266	623	498	
17	4585	216	579	520	
18	4801	400	542	546	
19	5201	433	585	561	
20	5634	183	443	478	
21	5817	166	635	400	
22	5984	183	404	332	
23	6167	183	325	326	
24	6350	166	524	733	
25	6517	316	652	753	
26	7116	117	601	778	
27	7233	216	592	728	
28	7449	183	543	501	
29	7633	100	577	525	
30	7733	383	393	445	
31	8116	366	545	482	
32	8482	683	516	509	
33	9165	533	529	415	
34	9698	216	342	712	
35	9914	250	322	748	
36	10164	616	561	783	
37	10780	167	539	538	
38	10947	600	440	433	
39	11547	267	560	549	
40	11963	17	528	459	
41	12096	533	532	553	
42	12629	283	476	444	
43	12912	200	366	393	
44	13112	216	315	360	
45	13329	217	333	727	
46	13545	816	629	728	
47	14361	200	441	574	
48	14561	350	574	465	
49	14911	550	468	546	
50	15810	133	622	662	
51	16710	433	493	462	
52	17143	466	429	386	
53	17609	116	488	372	
54	17726	333	405	667	
55	18059	150	619	694	
56	18208	400	510	486	
57	18608	216	571	585	
58	18825	816	602	631	
59	19841	200	465	507	
60	20041	183	438	431	
61	20224	250	338	369	
62	20474	333	454	371	
63	20807	583	296	336	
64	21390	167	545	402	
65	21556	233	488	529	
66	21789	949	581	585	
67	22905	333	506	541	
68	23238	183	411	574	
69	23422	183	621	455	
70	23605	466	406	389	
71	24071	266	487	600	
72	24338	833	447	791	
73	25170	616	539	501	
74	26020	899	603	529	
75	26919	316	556	454	
76	27236	200	371	424	
77	27435	533	534	373	
78	27968	216	439	689	
79	28185	566	369	719	
80	28751	166	647	664	
81	28918	183	686	420	
82	29101	183	689	358	
83	29284	250	375	340	
84	29534	217	283	618	
85	29751	250	345	490	
86	30300	316	581	597	
87	30750	133	546	518	
88	30883	283	606	432	
89	31166	166	645	410	
90	31333	333	447	423	
91	31666	350	597	542	
92	32315	433	611	544	
93	32749	250	390	478	
94	32998	250	392	346	
95	33248	400	578	305	
96	33648	266	449	714	
97	33914	716	411	752	
98	34631	1016	493	613	
99	36246	183	472	530	
100	36429	266	430	434	
101	36696	516	611	365	
102	37212	200	647	550	
103	37412	766	330	778	
104	38178	400	503	610	
105	38578	616	564	555	
106	39194	500	607	585	
107	39694	400	519	552	
108	40093	200	474	414	
109	40293	133	588	371	
110	40427	250	354	346	
111	40676	250	306	696	
112	40926	167	395	756	
113	41093	650	647	764	
114	41742	833	680	423	
115	42575	333	664	550	
116	43091	50	595	637	
117	43341	266	592	638	
118	43608	166	448	530	
119	43774	183	584	355	
120	43957	583	377	340	
121	44540	250	441	688	
122	44790	966	568	734	
123	46223	233	609	553	
