Data properties:

Recording date: 2009/6/14
Recording time: 22:23:50:000 (corresponds to time 0)
Study: 1
Subject: zxq
Recording: Rec 05
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
1	250	350	405	329	
2	600	167	726	294	
3	766	250	320	189	
4	1016	266	737	232	
5	1283	233	759	702	
6	1516	366	345	744	
7	1882	183	426	539	
8	2066	350	663	267	
9	2415	266	543	410	
10	2682	266	299	203	
11	2948	450	701	235	
12	3398	350	540	300	
13	3748	400	672	257	
14	4147	217	352	283	
15	4364	333	731	274	
16	4697	216	369	278	
17	4914	200	587	315	
18	5113	233	407	674	
19	5347	533	720	703	
20	5880	266	648	649	
21	6146	266	717	315	
22	6413	983	395	249	
23	7395	350	664	297	
24	7745	300	534	235	
25	8045	183	796	243	
26	8361	50	473	216	
27	8594	233	627	255	
28	9011	133	717	183	
29	9144	266	291	222	
30	9411	333	474	651	
31	9744	266	353	724	
32	10010	666	734	718	
33	10676	216	618	487	
34	10893	766	445	292	
35	11659	233	719	283	
36	11892	716	646	338	
37	12608	283	477	325	
38	12891	216	400	594	
39	13108	100	277	641	
40	13208	266	334	262	
41	13474	250	741	249	
42	13724	283	690	649	
43	14007	300	393	647	
44	14307	283	708	275	
45	14590	266	453	240	
46	14857	183	755	194	
47	15040	216	498	456	
48	15256	250	616	393	
49	15506	450	483	308	
50	15956	316	690	273	
51	16272	333	588	290	
52	16605	283	625	297	
53	16889	200	396	405	
54	17088	450	710	281	
55	17538	250	338	237	
56	17788	233	594	631	
57	18021	283	369	718	
58	18304	300	720	718	
59	18604	100	758	295	
60	18704	183	748	336	
61	18887	933	482	293	
62	19820	300	708	269	
63	20120	650	585	284	
64	20769	233	711	341	
65	21002	216	705	658	
66	21219	200	693	305	
67	21419	250	310	253	
68	21669	266	725	275	
69	21935	250	665	703	
70	22185	233	328	751	
71	22418	266	680	285	
72	22685	966	419	229	
73	23650	400	791	264	
74	24050	400	604	293	
75	24450	233	638	301	
76	24683	166	359	361	
77	24850	233	408	722	
78	25083	250	431	300	
79	25333	266	697	266	
80	25599	300	654	704	
81	25899	266	769	391	
82	26165	283	479	433	
83	26448	233	586	737	
84	26682	516	433	350	
85	27198	416	750	305	
86	27614	350	601	353	
87	27964	250	666	328	
88	28214	166	447	369	
89	28380	200	477	596	
90	28580	200	360	298	
91	28780	266	709	242	
92	29047	266	724	651	
93	29313	233	341	732	
94	29546	383	692	358	
95	29929	733	394	298	
96	30662	433	713	327	
97	31095	383	574	341	
98	31478	216	610	338	
99	31695	216	354	307	
100	31911	266	719	248	
101	32178	300	646	653	
102	32478	233	359	720	
103	32711	233	710	659	
104	32944	233	753	285	
105	33177	516	488	220	
106	33694	600	627	320	
107	34293	650	553	259	
108	34943	316	559	275	
109	35259	217	361	270	
110	35476	200	725	268	
111	35676	200	730	659	
112	35875	216	371	697	
113	36092	250	699	283	
114	36342	266	447	148	
115	36741	83	616	578	
116	36825	200	614	441	
117	37025	583	803	262	
118	37608	649	662	277	
119	38257	200	391	602	
120	38457	433	307	344	
121	38890	200	371	653	
122	39090	400	734	710	
123	39490	250	424	741	
124	39739	316	714	302	
125	40056	250	672	206	
126	40306	233	283	182	
127	40539	816	633	249	
128	41355	383	522	241	
129	41738	433	728	304	
130	42171	250	389	314	
131	42421	200	628	463	
132	42621	200	374	314	
133	42821	450	664	514	
134	43270	183	550	363	
135	43453	117	515	155	
136	43570	266	515	195	
137	43836	100	702	298	
