Data properties:

Recording date: 2009/6/14
Recording time: 22:31:57:000 (corresponds to time 0)
Study: 1
Subject: jch
Recording: Rec 07
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
0	124	267	559	413	
1	607	117	520	369	
2	724	150	711	349	
3	1140	150	578	334	
4	1290	433	704	363	
5	1723	200	377	355	
6	1923	250	673	345	
7	2173	283	423	358	
8	2656	200	512	387	
9	2856	383	628	710	
10	3239	216	425	620	
11	3705	183	438	287	
12	3888	816	615	441	
13	4704	966	542	411	
14	6237	67	421	314	
15	6520	283	636	311	
16	6803	217	621	431	
17	7020	350	421	390	
18	7369	350	623	405	
19	7719	566	695	362	
20	8285	383	355	350	
21	8668	316	329	631	
22	8985	350	746	780	
23	9335	150	710	678	
24	9701	117	416	346	
25	9818	233	674	643	
26	10217	350	299	398	
27	10567	433	560	397	
28	11000	1116	484	353	
29	12116	383	665	330	
30	12499	133	424	400	
31	12832	200	304	680	
32	13298	83	365	680	
33	13881	150	341	694	
34	14031	350	338	268	
35	14564	283	717	302	
36	14847	233	383	474	
37	15081	266	296	714	
38	15347	200	389	693	
39	15547	100	369	631	
40	15863	166	322	280	
41	16030	266	664	379	
42	16296	266	448	721	
43	16563	200	376	723	
44	16763	233	674	467	
45	16996	166	723	313	
46	17362	83	383	320	
47	17446	466	373	364	
48	18178	366	666	346	
49	18545	283	436	389	
50	18828	400	647	382	
51	19228	383	394	386	
52	19611	433	711	346	
53	20044	283	410	623	
54	20327	333	273	691	
55	20827	83	348	607	
56	20910	100	324	649	
57	21010	200	382	661	
58	21210	333	652	412	
59	21543	150	701	353	
60	21693	483	699	305	
61	22176	233	452	348	
62	22409	283	329	725	
63	22692	300	408	699	
64	22992	350	712	683	
65	23641	233	502	370	
66	23874	166	305	497	
67	24041	283	312	711	
68	24607	466	586	364	
69	25473	100	489	306	
70	25573	350	342	356	
71	25923	733	704	308	
72	26656	699	335	326	
73	27355	799	655	380	
74	28155	233	598	691	
75	28388	266	351	731	
76	28938	67	311	545	
77	29254	83	346	563	
78	29337	250	298	730	
79	29587	366	394	705	
80	29953	300	721	702	
81	30253	283	819	751	
82	30536	166	827	628	
83	30703	200	724	270	
84	30903	300	345	300	
85	31403	117	321	263	
86	31519	433	264	650	
87	31952	466	725	682	
88	32419	283	601	341	
89	32702	183	284	345	
90	32885	333	718	329	
91	33218	133	326	364	
92	33584	83	603	409	
93	33901	949	457	381	
94	34850	483	652	354	
95	35333	216	343	379	
96	35550	383	322	639	
97	36133	300	805	661	
98	36632	167	696	269	
99	36799	300	325	328	
100	37248	150	479	669	
101	37398	383	315	727	
102	37781	250	465	690	
103	38031	200	406	705	
104	38231	550	250	722	
105	38781	366	727	722	
106	39147	283	733	281	
107	39430	183	319	300	
108	39830	100	230	275	
109	40180	283	731	546	
110	40463	250	764	685	
111	40713	217	308	723	
112	40929	316	312	378	
113	41246	217	301	277	
114	41712	300	651	559	
115	42012	250	469	506	
116	42678	383	480	334	
117	43061	433	672	350	
118	43494	400	400	447	
119	43894	400	361	698	
120	44294	483	662	702	
121	45026	216	197	404	
122	45243	150	318	346	
123	45776	266	702	346	
124	46042	283	681	672	
125	46326	283	318	748	
126	46609	350	363	703	
127	46958	333	139	662	
128	47292	216	269	698	
129	47508	266	655	726	
130	47775	183	783	692	
131	48258	83	578	241	
132	48341	133	306	300	
133	48691	283	400	635	
134	48974	366	733	738	
135	49590	133	281	549	
136	49723	216	393	850	
137	49940	266	316	789	
138	50206	600	341	381	
139	51056	266	305	440	
140	51322	550	712	442	
141	51872	100	747	381	
142	51972	333	737	435	
143	52305	200	440	432	
144	52505	183	231	467	
145	52854	166	662	521	
146	53021	233	625	677	
147	53254	283	320	743	
148	53537	183	298	673	
149	53920	100	552	601	
150	54020	266	727	379	
151	54287	500	698	229	
152	54936	416	306	669	
153	55353	183	372	659	
154	55536	516	737	317	
155	56052	416	727	631	
156	56469	150	363	642	
157	56618	216	399	314	
158	56835	183	736	265	
159	57235	750	463	586	
160	57984	649	483	514	
161	58634	316	673	384	
162	59217	233	292	366	
163	59683	300	712	374	
