Data properties:

Recording date: 2009/6/14
Recording time: 22:38:16:000 (corresponds to time 0)
Study: 1
Subject: zzg
Recording: Rec 08
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
0	2074	150	688	677	
1	2224	133	522	653	
2	2357	366	442	353	
3	2724	316	651	254	
4	3040	333	762	550	
5	3373	166	587	423	
6	3540	250	367	283	
7	3790	216	274	173	
8	4006	250	570	229	
9	4256	183	711	438	
10	4439	216	687	643	
11	4656	117	348	685	
12	5006	333	438	293	
13	5339	183	569	260	
14	5522	216	664	562	
15	5738	183	658	660	
16	5922	166	719	753	
17	6088	266	329	722	
18	6355	117	255	663	
19	6471	333	323	290	
20	6804	350	734	266	
21	7154	167	431	258	
22	7321	100	506	245	
23	7421	183	697	578	
24	7604	216	736	682	
25	7820	250	796	779	
26	8070	333	867	830	
27	8403	133	568	793	
28	8536	283	294	777	
29	8820	366	312	274	
30	9186	433	578	243	
31	9619	216	611	245	
32	9835	533	697	217	
33	10368	117	495	177	
34	10485	200	485	217	
35	10685	333	382	245	
36	11018	183	316	245	
37	11201	250	676	252	
38	11451	183	746	246	
39	11634	233	431	282	
40	11867	483	354	670	
41	12350	350	711	698	
42	12700	300	775	772	
43	13000	300	789	697	
44	13300	300	754	601	
45	13600	433	717	298	
46	14033	266	350	255	
47	14299	266	389	562	
48	14566	266	700	675	
49	14832	650	777	745	
50	15482	266	853	793	
51	15748	183	748	737	
52	16048	350	612	300	
53	16398	250	623	292	
54	16648	316	700	237	
55	16964	266	609	243	
56	17230	200	520	270	
57	17430	233	362	306	
58	17663	200	380	534	
59	17863	366	454	307	
60	18230	250	392	286	
61	18480	266	345	727	
62	18746	200	321	691	
63	18946	133	646	692	
64	19079	300	344	696	
65	19379	400	722	693	
66	19779	133	520	314	
67	19912	116	484	322	
68	20028	233	385	304	
69	20262	333	393	706	
70	20595	166	297	742	
71	20761	233	282	283	
72	20994	416	728	245	
73	21411	133	370	196	
74	21544	300	376	136	
75	21844	266	765	201	
76	22110	150	661	254	
77	22427	433	773	189	
78	22860	266	578	259	
79	23126	150	576	347	
80	23276	183	435	391	
81	23459	250	338	292	
82	23709	250	758	272	
83	23959	233	718	673	
84	24192	300	406	643	
85	24492	500	723	322	
86	24992	316	347	665	
87	25308	266	742	692	
88	25575	100	474	314	
89	25675	183	474	356	
90	25858	233	366	274	
91	26091	366	708	282	
92	26457	266	616	253	
93	26724	316	703	296	
94	27040	466	499	293	
95	27507	283	361	284	
96	27790	216	618	414	
97	28006	433	424	312	
98	28439	333	451	278	
99	28773	233	711	223	
100	29006	266	434	178	
101	29272	266	358	191	
102	29539	300	366	284	
103	29838	200	425	194	
104	30038	216	669	235	
105	30255	200	465	284	
106	30455	183	482	611	
107	30638	283	350	686	
108	30921	300	671	751	
109	31221	150	483	507	
110	31371	300	344	325	
111	31670	233	696	277	
112	31904	283	600	642	
113	32187	250	309	676	
114	32437	200	686	692	
115	32636	216	578	320	
116	32853	233	572	312	
117	33336	83	630	185	
118	33419	133	642	266	
119	33552	500	677	303	
120	34052	366	390	299	
121	34418	300	674	311	
122	34718	183	727	332	
123	34901	216	654	625	
124	35118	133	677	678	
125	35251	216	304	697	
126	35468	633	692	269	
127	36101	333	340	730	
128	36434	266	769	672	
129	36700	216	778	301	
130	36917	200	374	277	
131	37117	316	264	255	
132	37433	283	460	248	
133	37716	350	521	283	
134	38066	333	617	274	
135	38399	316	702	308	
136	38715	316	516	272	
137	39032	133	405	317	
138	39165	316	643	320	
139	39481	167	387	285	
140	39648	266	760	278	
141	39915	266	340	284	
142	40181	300	347	692	
143	40481	250	679	690	
144	40731	167	630	361	
145	40897	316	372	279	
