Data properties:

Recording date: 2009/6/14
Recording time: 22:54:27:000 (corresponds to time 0)
Study: 1
Subject: xm
Recording: Rec 09
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
0	74	250	356	511	
1	324	233	430	371	
2	557	483	695	332	
3	1041	350	667	644	
4	1390	366	382	656	
5	1757	217	349	345	
6	1973	300	676	311	
7	2273	283	767	538	
8	2556	333	667	325	
9	2889	333	388	306	
10	3222	799	694	295	
11	4022	949	709	342	
12	4971	216	675	348	
13	5188	483	701	625	
14	5671	483	521	417	
15	6153	250	534	306	
16	6403	316	696	272	
17	6720	266	591	250	
18	6986	283	694	650	
19	7269	366	696	367	
20	7636	933	483	351	
21	8569	316	710	412	
22	8885	383	659	431	
23	9268	300	433	633	
24	9568	183	388	654	
25	9751	450	333	669	
26	10201	300	329	398	
27	10501	250	698	591	
28	10750	233	670	316	
29	11133	167	642	300	
30	11300	999	721	389	
31	12299	716	770	403	
32	13015	283	563	655	
33	13299	233	737	335	
34	13532	200	693	284	
35	13732	283	567	275	
36	14015	400	617	298	
37	14414	333	682	487	
38	14747	383	394	423	
39	15131	267	373	374	
40	15397	516	673	635	
41	15913	117	744	508	
42	16030	916	694	356	
43	16946	650	674	340	
44	17596	783	662	443	
45	18378	150	751	383	
46	18528	283	700	356	
47	18811	300	786	366	
48	19111	233	705	366	
49	19344	433	432	334	
50	19777	233	579	554	
51	20010	250	650	561	
52	20260	300	698	364	
53	20560	266	478	311	
54	20827	1349	592	347	
55	22176	616	631	398	
56	22792	216	637	514	
57	23008	233	371	410	
58	23242	300	473	644	
59	23541	316	636	430	
60	23858	366	575	326	
61	24224	100	759	317	
62	24324	633	738	358	
63	24957	366	607	418	
64	25323	133	326	329	
65	25457	216	359	398	
66	25673	266	681	645	
67	25940	217	743	490	
68	26156	316	747	348	
69	26473	283	438	335	
70	26756	183	449	507	
71	26939	216	676	662	
72	27155	217	752	388	
73	27539	933	748	402	
74	28471	350	695	387	
75	28821	350	660	466	
76	29171	216	711	539	
77	29387	866	729	300	
78	30253	749	727	377	
79	31003	167	411	309	
80	31353	83	483	339	
81	31436	283	724	314	
82	31719	216	779	545	
83	31936	233	658	379	
84	32169	833	751	329	
85	33201	183	871	374	
86	33618	83	690	353	
87	33701	283	441	350	
88	33984	233	577	673	
89	34217	250	670	654	
90	34467	350	709	381	
91	34817	233	509	662	
92	35050	333	714	692	
93	35383	200	547	553	
94	35583	666	392	264	
95	36249	400	616	285	
96	36649	333	772	306	
97	36982	283	733	338	
98	37265	266	566	346	
99	37532	300	666	631	
100	37832	250	389	674	
101	38081	333	440	413	
102	38414	266	674	582	
103	38681	300	672	357	
104	38981	883	447	299	
105	39863	100	654	321	
