Data properties:

Recording date: 2009/6/14
Recording time: 23:01:01:000 (corresponds to time 0)
Study: 1
Subject: cws
Recording: Rec 10
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
0	9	332	457	485	
1	341	350	369	367	
2	690	117	554	444	
3	807	317	528	334	
4	1124	400	640	427	
5	1523	350	336	350	
6	1873	500	661	376	
7	2373	366	291	334	
8	2739	200	461	336	
9	2939	233	609	408	
10	3172	350	718	366	
11	3522	233	354	426	
12	3755	316	258	356	
13	4071	616	735	377	
14	4688	583	380	388	
15	5271	117	531	408	
16	5387	633	452	393	
17	6020	183	333	361	
18	6203	200	613	533	
19	6403	233	711	745	
20	6636	400	656	384	
21	7036	266	524	365	
22	7302	217	854	501	
23	7519	233	701	370	
24	7752	433	594	345	
25	8185	133	707	575	
26	8319	566	727	694	
27	8885	266	731	378	
28	9151	283	328	353	
29	9434	150	294	545	
30	9584	383	714	741	
31	9967	200	707	705	
32	10167	1332	558	370	
33	11500	200	522	580	
34	11699	933	727	722	
35	12632	500	293	721	
36	13132	116	280	641	
37	13248	366	279	342	
38	13615	450	718	340	
39	14064	166	745	553	
40	14231	416	528	730	
41	14647	183	376	521	
42	14831	200	379	436	
43	15030	533	717	420	
44	15563	516	725	554	
45	16080	233	537	538	
46	16313	316	673	665	
47	16629	566	727	786	
48	17196	133	566	631	
49	17329	333	363	687	
50	17662	216	324	518	
51	17878	266	324	388	
52	18145	716	738	352	
53	18861	283	602	422	
54	19144	100	904	475	
55	19427	167	855	480	
56	19594	683	723	511	
57	20277	233	703	379	
58	20510	533	331	336	
59	21043	283	467	449	
60	21326	300	803	429	
61	21626	966	563	440	
62	22592	283	732	440	
63	22875	450	675	427	
64	23325	783	352	383	
65	24107	400	339	583	
66	24507	183	725	661	
67	24690	566	721	383	
68	25257	250	735	403	
69	25506	1049	651	410	
70	26556	733	279	416	
71	27289	183	269	567	
72	27472	216	337	721	
73	27688	216	735	758	
74	27905	700	694	400	
75	28604	350	420	353	
76	28954	216	606	364	
77	29171	250	825	410	
78	29420	133	712	408	
79	29554	383	612	423	
80	29937	1316	343	354	
81	31253	366	613	367	
82	31619	200	749	398	
83	31819	383	758	678	
84	32202	300	302	745	
85	32502	600	318	386	
86	33101	250	1094	460	
87	33351	117	1421	428	
88	33684	233	517	428	
89	33917	400	471	411	
90	34317	466	651	538	
91	34783	400	673	704	
92	35183	500	694	345	
93	35683	483	693	401	
94	36166	167	705	481	
95	36332	166	707	595	
96	36499	150	712	664	
97	36649	683	695	356	
98	37332	216	777	366	
99	37548	100	476	371	
100	37848	150	465	424	
101	37998	283	330	387	
102	38281	233	323	599	
103	38514	500	678	652	
104	39014	749	745	678	
105	39763	2115	292	739	
106	41878	216	315	453	
107	42095	200	695	393	
108	42295	500	895	371	
109	42794	516	690	386	
110	43311	200	374	402	
111	43511	1266	713	370	
112	44776	400	296	397	
113	45176	166	407	612	
114	45343	266	712	706	
115	45609	600	684	402	
116	46209	133	939	360	
117	46342	233	1004	375	
118	46575	350	722	332	
119	46925	266	628	374	
120	47191	150	396	394	
121	47341	216	692	394	
122	47558	316	711	655	
123	47874	450	274	691	
124	48324	300	681	419	
125	48624	167	725	296	
126	48790	500	304	325	
127	49290	416	781	676	
128	49706	400	627	369	
129	50106	300	967	397	
130	50406	233	787	368	
131	50639	133	683	369	
