Data properties:

Recording date: 2009/6/20
Recording time: 15:14:00:000 (corresponds to time 0)
Study: 1
Subject: dyy
Recording: Rec 11
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
1	244	83	148	219	
2	328	250	337	318	
3	578	466	649	315	
4	1044	200	549	421	
5	1244	233	458	750	
6	1477	283	740	756	
7	1760	200	649	482	
8	1960	266	385	260	
9	2226	350	704	262	
10	2576	216	548	342	
11	2793	550	239	232	
12	3342	333	712	260	
13	3675	250	368	335	
14	3925	300	422	606	
15	4225	283	711	692	
16	4508	400	487	702	
17	4908	183	717	778	
18	5091	250	809	879	
19	5341	583	523	407	
20	6107	200	735	249	
21	6473	167	736	357	
22	6640	316	441	449	
23	6957	416	491	720	
24	7373	267	628	572	
25	7639	999	419	381	
26	8639	200	637	382	
27	8839	333	160	125	
28	9172	250	-35	69	
29	9588	133	431	352	
30	9721	183	661	596	
31	9905	450	695	675	
32	10354	266	636	364	
33	10621	300	422	332	
34	10920	283	689	308	
35	11204	516	581	532	
36	11720	283	695	469	
37	12003	733	605	401	
38	12736	133	589	573	
39	12869	350	396	658	
40	13219	200	558	713	
41	13419	250	744	413	
42	13669	816	428	326	
43	14485	333	631	333	
44	14818	133	654	752	
45	14951	583	668	458	
46	15534	200	386	673	
47	15734	383	690	336	
48	16117	383	413	349	
49	16500	316	720	309	
50	16816	583	556	381	
51	17399	566	670	334	
52	18182	366	755	214	
53	18548	433	732	342	
54	18981	266	394	372	
55	19248	366	737	356	
56	19614	350	374	391	
57	19964	233	357	729	
58	20197	333	712	745	
59	20530	350	500	418	
60	20880	183	355	368	
61	21063	633	738	302	
62	21913	200	755	294	
63	22113	350	715	434	
64	22462	283	387	457	
65	22745	216	370	256	
66	22962	300	726	270	
67	23262	400	367	321	
68	23661	266	413	745	
69	23928	183	701	591	
70	24111	600	726	328	
71	24877	100	747	312	
72	24977	333	744	354	
73	25310	167	594	410	
74	25760	266	552	334	
75	26026	166	728	343	
76	26193	283	377	336	
77	26476	266	400	692	
78	26743	300	714	723	
79	27042	766	481	472	
80	27992	533	718	266	
81	28525	350	638	371	
82	28875	217	404	300	
83	29091	250	704	313	
84	29341	433	506	465	
85	29774	233	351	429	
86	30007	383	688	695	
87	30573	100	567	261	
88	30673	266	566	307	
89	30940	400	681	326	
90	31339	533	746	290	
91	31873	466	669	362	
92	32339	216	421	403	
93	32555	133	481	553	
94	32689	283	419	700	
95	32972	283	740	683	
96	33255	266	696	341	
97	33521	466	376	349	
98	33988	316	631	288	
99	34304	183	373	285	
100	34654	83	524	276	
101	34737	466	406	646	
102	35370	166	619	590	
103	35537	150	665	583	
104	35687	233	717	522	
105	35920	283	652	493	
106	36203	150	396	384	
107	36353	250	408	648	
108	36603	316	712	366	
109	36919	400	456	420	
110	37319	200	560	325	
111	37519	266	751	283	
112	37785	250	383	302	
113	38035	316	736	287	
114	38351	333	468	293	
115	38684	416	572	401	
116	39267	416	767	370	
117	39684	450	642	403	
118	40133	200	377	370	
119	40333	383	701	333	
120	40716	466	409	328	
121	41183	133	424	467	
122	41516	83	473	586	
123	41599	283	321	708	
124	41882	200	733	698	
125	42082	600	685	283	
126	42882	350	776	378	
127	43231	433	685	404	
128	43664	233	391	677	
129	43897	550	720	357	
130	44447	383	363	691	
131	44830	333	742	322	
132	45163	866	336	347	
133	46029	283	712	737	
134	46312	583	398	403	
135	47062	250	660	417	
