Data properties:

Recording date: 2009/6/20
Recording time: 15:22:36:000 (corresponds to time 0)
Study: 1
Subject: xj
Recording: Rec 12
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
1	344	366	358	292	
2	710	466	730	287	
3	1176	117	766	600	
4	1293	183	735	650	
5	1476	733	293	703	
6	2209	266	304	354	
7	2475	500	745	334	
8	2975	383	734	482	
9	3358	516	713	672	
10	3875	483	513	400	
11	4357	366	714	356	
12	4724	1149	487	347	
13	5873	866	810	465	
14	6739	250	709	559	
15	6989	500	450	388	
16	7489	200	732	382	
17	7688	799	789	565	
18	8488	466	643	381	
19	8954	100	359	300	
20	9054	283	373	370	
21	9337	117	465	545	
22	9454	133	473	588	
23	9587	583	780	604	
24	10170	483	747	354	
25	10653	183	656	482	
26	10836	250	662	383	
27	16116	433	701	363	
28	16549	117	623	386	
29	16666	466	416	380	
30	17132	1066	689	426	
31	18198	550	533	403	
32	18747	316	731	424	
33	19064	433	674	409	
34	19497	117	473	431	
35	19613	166	462	466	
36	19780	150	353	604	
37	19930	166	355	640	
38	20096	283	820	616	
39	20380	483	795	467	
40	20863	1316	597	419	
41	22378	566	701	420	
42	22944	466	388	342	
43	23411	300	367	605	
44	23711	566	311	697	
45	24277	416	349	770	
46	24693	300	729	762	
47	24993	366	752	345	
48	25359	600	308	286	
49	25959	333	701	273	
50	26292	383	346	648	
51	26675	699	319	774	
52	27375	200	543	854	
53	27574	383	691	659	
54	27958	400	289	692	
55	28357	400	733	702	
56	28757	166	429	656	
57	28924	766	548	322	
58	29690	150	708	415	
59	30056	350	603	435	
60	30406	633	294	335	
61	31039	316	369	586	
62	31355	250	686	500	
63	31605	483	730	316	
64	32088	733	514	436	
65	32821	416	397	506	
66	33237	583	622	436	
67	33820	333	392	447	
68	34153	233	325	494	
69	34386	250	634	628	
70	34636	433	745	366	
71	35069	316	654	382	
72	35386	316	536	364	
73	35702	266	697	354	
74	35969	300	391	378	
75	36269	233	366	570	
76	36502	333	729	689	
77	36835	733	487	464	
78	37718	733	703	428	
79	38450	500	343	391	
80	38950	516	627	403	
81	39466	566	756	634	
82	40033	366	379	685	
83	40399	500	741	357	
84	40899	483	530	360	
85	41382	700	386	372	
86	42081	416	303	314	
87	42498	233	671	407	
88	42731	333	706	561	
89	43064	550	570	401	
90	43614	200	506	505	
91	43813	516	338	629	
92	44330	316	296	684	
93	44646	550	337	366	
94	45196	616	715	352	
95	45812	1466	510	391	
96	47278	583	394	382	
97	47861	250	739	347	
98	48110	117	356	703	
99	48227	833	376	674	
100	49060	333	565	539	
101	49393	666	362	651	
102	50059	466	377	453	
103	50525	316	772	373	
104	50842	167	670	630	
105	51008	833	307	729	
106	51841	383	483	683	
107	52224	433	743	396	
108	52807	899	650	390	
109	53706	816	581	472	
110	54523	250	360	537	
111	54772	100	362	496	
112	54872	100	358	531	
113	54972	183	455	387	
114	55156	316	773	348	
115	55472	250	719	631	
116	55722	400	349	694	
117	56122	433	337	461	
118	56555	566	630	441	
119	57121	433	488	404	
120	57554	250	780	378	
121	57804	183	699	587	
122	57987	266	306	675	
123	58253	416	302	312	
124	58670	1149	726	362	
125	59819	949	656	413	
126	60768	350	347	374	
127	61118	583	582	607	
128	61701	466	675	393	
129	62167	416	446	672	
130	62584	600	679	707	
131	63183	733	633	279	
132	63916	666	369	288	
133	64582	233	713	292	
134	64815	566	656	558	
135	65382	600	656	704	
136	65981	100	690	675	
137	66081	167	653	702	
138	66248	216	667	415	
139	66664	83	688	320	
140	66747	766	687	380	
141	67514	333	392	347	
142	67847	200	681	412	
143	68046	266	338	323	
144	68313	316	675	452	
145	68629	366	760	645	
146	68996	650	745	404	
147	69645	533	348	342	
148	70178	400	746	384	
149	70578	533	621	769	
150	71111	283	733	631	
151	71394	600	729	386	
152	71994	666	381	341	
153	72660	550	658	359	
154	73359	1432	738	386	
155	74792	450	486	495	
156	75241	250	639	585	
157	75491	550	731	662	
158	76041	733	718	733	
159	76774	100	735	701	
160	76874	483	701	688	
161	77357	433	333	716	
162	77790	450	726	419	
163	78239	183	705	334	
164	78422	550	331	303	
165	78972	316	732	321	
166	79289	300	765	784	
167	79588	649	655	685	
168	80404	966	717	385	
169	81370	183	390	372	
170	81554	366	320	604	
171	81920	383	689	680	
172	82303	483	493	731	
173	82786	300	698	680	
174	83086	350	736	374	
175	83436	600	425	335	
176	84035	333	688	347	
177	84368	316	450	360	
178	84685	316	476	462	
179	85001	233	754	511	
180	85234	566	713	703	
181	85801	433	378	747	
182	86234	250	762	717	
183	86767	566	619	541	
184	87333	433	580	486	
