Data properties:

Recording date: 2009/6/20
Recording time: 15:52:30:000 (corresponds to time 0)
Study: 1
Subject: tq
Recording: Rec 13
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
0	110	200	399	385	
1	310	250	682	390	
2	559	183	678	620	
3	743	500	749	726	
4	1242	733	623	685	
5	1975	400	598	379	
6	2375	216	725	456	
7	2591	266	415	421	
8	2858	183	685	426	
9	3041	1132	733	738	
10	4173	383	694	414	
11	4556	433	868	443	
12	4989	466	606	457	
13	5456	233	633	685	
14	5689	183	366	711	
15	5872	650	709	683	
16	6522	266	521	618	
17	6788	200	604	395	
18	6988	517	334	331	
19	7505	633	703	355	
20	8137	366	449	686	
21	8504	316	335	725	
22	8820	650	716	725	
23	9470	866	612	609	
24	10336	633	688	465	
25	10969	316	815	453	
26	11285	217	358	637	
27	11502	300	630	320	
28	11802	516	356	300	
29	12318	350	317	693	
30	12668	250	740	708	
31	12918	483	783	304	
32	13401	416	604	341	
33	13817	316	663	577	
34	14133	566	816	455	
35	14700	316	381	480	
36	15016	200	500	489	
37	15216	883	374	355	
38	16099	283	438	345	
39	16382	550	734	509	
40	16931	450	725	478	
41	17381	366	862	473	
42	17747	483	614	485	
43	18230	250	399	436	
44	18480	266	686	426	
45	18747	616	772	370	
46	19363	400	338	738	
47	19763	333	695	519	
48	20096	666	369	370	
49	20762	366	641	424	
50	21128	933	589	384	
51	22061	500	342	359	
52	22561	600	331	734	
53	23160	333	729	734	
54	23677	783	558	397	
55	24460	316	874	391	
56	24776	566	698	376	
57	25342	167	367	366	
58	25509	250	694	349	
59	25759	600	798	345	
60	26358	466	321	355	
61	26825	949	805	350	
62	27774	250	616	415	
63	28024	1066	762	391	
64	29090	233	559	408	
65	29323	666	777	748	
66	29989	483	730	629	
67	30472	283	457	336	
68	30755	366	369	303	
69	31122	783	710	348	
70	31904	316	1258	349	
71	32221	633	740	378	
72	32854	333	517	451	
73	33187	200	605	367	
74	33387	266	353	590	
75	33653	283	418	706	
76	33936	266	711	373	
77	34203	616	470	328	
78	34819	366	779	390	
79	35185	300	938	348	
80	35485	416	719	392	
81	35902	383	363	358	
82	36284	217	541	335	
83	36501	200	378	318	
84	36701	416	709	333	
85	37117	333	330	597	
86	37450	333	351	731	
87	37783	366	747	703	
88	38150	533	698	276	
89	38683	550	361	298	
90	39233	483	679	352	
91	39715	300	821	349	
92	40015	633	668	360	
93	40648	283	724	344	
94	40931	250	710	401	
95	41181	283	500	339	
96	41464	233	546	734	
97	41697	266	316	759	
98	41964	250	754	719	
99	42214	233	764	580	
100	42447	383	558	359	
101	42830	1083	673	310	
102	43913	433	646	308	
103	44346	250	616	381	
104	44595	366	376	348	
105	44962	366	327	777	
106	45328	216	760	742	
107	45545	383	779	333	
108	45928	300	562	314	
109	46228	316	705	327	
110	46694	600	686	528	
111	47294	600	835	418	
