Data properties:

Recording date: 2009/6/20
Recording time: 16:02:39:000 (corresponds to time 0)
Study: 1
Subject: zyt
Recording: Rec 14
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
0	144	183	436	468	
1	327	250	583	534	
2	577	333	384	437	
3	910	200	505	507	
4	1110	450	656	357	
5	1560	316	508	398	
6	1876	167	620	476	
7	2193	117	541	546	
8	2309	250	357	424	
9	2559	250	507	536	
10	2809	1099	433	502	
11	3908	333	695	339	
12	4241	233	746	252	
13	4474	233	591	282	
14	4707	100	670	263	
15	4807	150	464	307	
16	4957	466	456	355	
17	5424	416	664	310	
18	5840	133	463	464	
19	5973	233	339	605	
20	6206	400	504	638	
21	6606	250	638	426	
22	6856	1849	461	334	
23	8705	100	376	348	
24	8805	117	398	412	
25	8921	233	674	352	
26	9154	200	513	536	
27	9354	133	420	601	
28	9487	516	668	667	
29	10004	1766	469	363	
30	11769	200	687	363	
31	11969	250	480	579	
32	12219	133	430	679	
33	12352	266	636	708	
34	12619	650	460	342	
35	13268	400	685	377	
36	13668	383	610	436	
37	14051	183	666	422	
38	14234	283	427	621	
39	14517	283	635	649	
40	14800	949	457	413	
41	15750	666	666	387	
42	16416	200	436	433	
43	16616	416	573	418	
44	17032	183	702	407	
45	17215	167	636	656	
46	17382	200	345	660	
47	17582	250	356	326	
48	17832	416	585	346	
49	18248	1016	611	410	
50	19264	366	546	455	
51	19630	216	640	513	
52	19847	550	491	536	
53	20396	200	472	613	
54	20596	233	670	485	
55	20829	583	421	457	
56	21412	500	683	426	
57	22078	550	625	382	
58	22628	483	602	415	
59	23111	150	525	470	
60	23261	183	428	641	
61	23444	516	615	361	
62	24127	266	526	283	
63	24394	183	607	343	
64	24577	450	430	472	
65	25027	500	666	444	
66	25526	366	580	444	
67	25893	150	400	717	
68	26042	183	538	761	
69	26226	166	682	606	
70	26392	183	651	352	
71	26575	216	379	315	
72	26792	333	662	318	
73	27125	600	445	416	
74	27725	350	713	400	
75	28074	633	614	426	
76	28707	366	462	497	
77	29074	266	613	454	
78	29340	217	538	536	
79	29557	1099	563	577	
80	30656	250	630	464	
81	30906	583	730	411	
82	31489	216	361	384	
83	31705	200	605	388	
84	31905	333	409	637	
85	32238	300	522	638	
86	32538	400	376	683	
87	32938	366	311	685	
88	33304	849	463	281	
89	34154	600	686	300	
90	34753	316	441	355	
91	35070	300	563	398	
92	35369	183	648	463	
93	35553	183	547	629	
94	35736	283	360	701	
95	36019	400	639	704	
96	36419	283	401	702	
97	36702	1116	584	380	
