Data properties:

Recording date: 2009/6/20
Recording time: 16:08:25:000 (corresponds to time 0)
Study: 1
Subject: dgy
Recording: Rec 15
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
0	9	283	479	508	
1	293	183	590	423	
2	476	233	329	355	
3	709	417	631	304	
4	1126	383	357	291	
5	1508	217	293	261	
6	1725	550	267	227	
7	2275	200	347	256	
8	2474	300	749	277	
9	2774	683	325	691	
10	3457	500	711	700	
11	3957	167	766	360	
12	4123	250	723	290	
13	4373	650	741	700	
14	5023	333	717	298	
15	5356	283	298	303	
16	5639	316	798	435	
17	5955	250	490	421	
18	6205	183	343	707	
19	6389	250	344	415	
20	6638	266	661	541	
21	6905	416	480	623	
22	7321	266	564	645	
23	7588	716	442	505	
24	8304	400	771	460	
25	8703	266	1098	447	
26	8970	250	710	463	
27	9220	167	457	409	
28	9386	533	358	326	
29	9919	616	772	292	
30	10536	300	686	760	
31	10835	217	311	747	
32	11052	400	343	390	
33	11452	250	398	730	
34	11701	466	729	719	
35	12168	117	747	404	
36	12284	416	743	247	
37	12701	400	387	339	
38	13100	300	562	608	
39	13400	183	725	698	
40	13583	233	613	698	
41	13817	616	566	541	
42	14433	233	728	466	
43	14799	466	697	425	
44	15266	233	389	364	
45	15499	350	692	306	
46	15998	333	698	202	
47	16332	466	713	305	
48	16798	233	748	271	
49	17031	150	474	262	
50	17181	250	294	278	
51	17431	200	738	293	
52	17631	333	719	686	
53	17964	200	712	741	
54	18347	250	713	677	
55	18597	483	707	750	
56	19080	383	343	730	
57	19463	383	316	680	
58	19846	233	406	280	
59	20079	450	733	280	
60	20728	300	431	272	
61	21028	183	704	329	
62	21211	216	442	357	
63	21428	133	692	564	
64	21561	250	436	345	
65	21811	633	608	361	
66	22444	366	642	465	
67	22810	400	795	403	
68	23343	200	506	375	
69	23543	400	717	372	
70	23943	333	433	304	
71	24276	1582	308	249	
72	25858	649	309	713	
73	26508	533	768	721	
74	27041	450	763	245	
75	27490	533	304	238	
76	28157	1266	383	257	
77	29422	1865	220	240	
78	31488	1932	316	363	
79	33420	216	729	659	
80	33636	283	733	257	
81	33919	283	447	265	
82	34202	400	753	696	
83	34602	233	684	372	
84	34835	450	714	277	
85	35452	100	371	608	
86	35551	450	327	732	
87	36001	216	731	723	
88	36218	200	741	358	
89	36417	133	561	273	
90	36551	466	294	270	
91	37017	300	761	274	
92	37317	233	726	696	
93	37550	283	685	449	
94	37833	400	702	716	
95	38233	233	492	432	
96	38466	250	398	346	
97	38716	233	716	346	
98	38949	167	391	347	
99	39116	100	398	435	
100	39399	200	587	729	
101	39599	216	691	379	
102	39815	799	434	361	
103	40615	600	672	446	
104	41214	716	384	372	
105	41930	133	342	769	
106	42064	366	344	714	
107	42430	250	726	292	
108	42680	167	481	243	
109	42846	300	335	243	
110	43146	783	746	264	
111	44079	83	662	721	
112	44162	233	642	761	
113	44395	316	760	694	
114	44712	366	810	682	
115	45078	183	394	358	
116	45261	450	294	300	
117	45711	816	352	288	
118	46527	716	526	289	
119	47243	266	469	271	
120	47510	183	368	274	
121	47693	167	682	282	
122	47860	283	439	276	
123	48143	117	670	291	
124	48259	1765	404	307	
125	50025	167	729	327	
126	50341	183	680	613	
127	50524	316	697	305	
128	50841	450	348	331	
129	51290	200	391	352	
130	51490	183	526	758	
131	51674	216	745	735	
132	51890	150	769	683	
133	52040	400	821	697	
134	52440	233	677	911	
135	52673	167	501	888	
136	52839	200	282	784	
137	53039	166	337	537	
138	53206	250	427	298	
139	53456	366	717	318	
140	53822	283	661	327	
141	54288	350	463	358	
142	54638	266	541	424	
143	54905	216	458	828	
144	55121	216	643	864	
145	55338	233	640	533	
146	55571	216	596	320	
147	55787	183	438	326	
148	55971	350	707	329	
