Data properties:

Recording date: 2009/6/20
Recording time: 16:16:48:000 (corresponds to time 0)
Study: 1
Subject: hxy
Recording: Rec 16
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
0	2	117	457	550	
1	119	516	454	487	
2	635	166	609	655	
3	802	167	741	526	
4	968	200	717	249	
5	1168	533	346	287	
6	1701	999	521	306	
7	2701	266	657	271	
8	2967	266	1091	89	
9	3234	133	1130	-116	
10	3367	216	631	310	
11	3583	766	327	321	
12	4349	350	725	243	
13	4699	483	455	270	
14	5182	333	1124	326	
15	5698	200	486	332	
16	5898	983	695	325	
17	6881	117	326	337	
18	6998	266	362	752	
19	7264	483	717	709	
20	7747	233	691	286	
21	7980	550	313	278	
22	8530	1016	713	292	
23	9879	1183	452	358	
24	11061	433	590	652	
25	11494	216	660	262	
26	11711	300	442	308	
27	12011	400	1096	369	
28	12410	283	604	293	
29	12694	250	281	321	
30	12943	266	662	337	
31	13210	250	642	578	
32	13460	383	432	711	
33	13843	150	696	678	
34	13993	167	672	275	
35	14159	616	432	284	
36	14775	350	894	260	
37	15125	233	595	284	
38	15358	600	297	313	
39	15958	450	262	686	
40	16408	217	527	222	
41	16624	283	833	142	
42	16907	533	491	237	
43	17440	266	657	332	
44	17707	933	699	740	
45	18789	1016	307	251	
46	19805	233	637	245	
47	20038	266	642	267	
48	20305	283	701	292	
49	20588	333	671	665	
50	20921	150	608	239	
51	21071	183	311	271	
52	21254	216	278	306	
53	21471	350	319	779	
54	21821	316	732	712	
55	22137	1099	723	301	
56	23386	683	656	254	
57	24069	366	716	335	
58	24435	416	335	337	
59	24852	550	730	342	
60	25401	300	739	671	
61	25701	266	306	723	
62	25968	849	317	276	
63	26817	100	661	287	
64	26917	483	974	276	
65	27400	333	617	385	
66	27733	216	-96	590	
67	27950	283	379	462	
68	28233	533	435	317	
69	28766	216	355	322	
70	28982	333	596	673	
71	29315	400	704	626	
72	29715	916	317	714	
73	30914	266	367	327	
74	31181	183	624	336	
75	31364	849	724	299	
76	32213	167	568	749	
77	32380	283	339	737	
78	32663	583	829	686	
79	33246	366	354	613	
80	33612	283	139	571	
81	33896	116	391	403	
82	34012	600	667	322	
83	34612	533	319	331	
84	35344	333	720	382	
