Data properties:

Recording date: 2009/6/20
Recording time: 16:21:21:000 (corresponds to time 0)
Study: 1
Subject: mxn
Recording: Rec 17
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
0	236	167	535	357	
1	403	350	710	305	
2	752	217	475	370	
3	969	383	701	706	
4	1352	633	397	338	
5	1985	383	756	292	
6	2368	266	692	669	
7	2634	283	365	372	
8	2918	616	724	281	
9	3534	783	722	304	
10	4317	266	669	598	
11	4583	166	449	326	
12	4750	266	689	294	
13	5016	383	342	284	
14	5399	250	717	303	
15	5649	250	688	649	
16	5899	200	392	629	
17	6099	1999	588	332	
18	8097	300	643	344	
19	8397	483	560	388	
20	8880	433	370	572	
21	9313	200	583	589	
22	9513	267	702	740	
23	9780	733	714	313	
24	10512	699	659	307	
25	11212	233	662	322	
26	11445	283	539	396	
27	11728	316	325	308	
28	12045	483	634	285	
29	12528	183	458	610	
30	12711	466	329	699	
31	13177	516	694	704	
32	13693	316	614	327	
33	14010	150	511	281	
34	14160	300	294	288	
35	14460	1099	689	256	
36	15559	383	633	267	
37	15942	516	772	278	
38	16458	300	410	307	
39	16758	333	682	309	
40	17091	450	389	312	
41	17541	383	655	303	
42	18340	133	705	604	
43	18473	333	691	333	
44	18807	183	400	308	
45	18990	433	707	323	
46	19423	999	605	312	
47	20422	217	566	334	
48	20639	216	327	574	
49	20855	216	310	651	
50	21072	400	678	675	
51	21471	416	651	246	
52	21888	400	317	650	
53	22287	250	719	675	
54	22537	1266	632	367	
55	23803	833	629	356	
56	24636	133	560	347	
57	24769	383	672	322	
58	25152	450	701	615	
59	25602	400	399	686	
60	26002	500	649	692	
61	26501	350	455	389	
62	26851	233	726	301	
63	27084	450	398	300	
64	27534	516	771	281	
65	28050	283	863	307	
66	28333	383	346	670	
67	28716	949	546	536	
68	29666	999	697	412	
69	30665	500	644	355	
70	31165	516	660	287	
71	31681	183	470	455	
72	31864	283	307	679	
73	32147	283	650	693	
74	32430	450	304	660	
75	32880	233	616	404	
76	33113	500	709	309	
77	33613	333	409	292	
78	34129	133	529	348	
79	34262	999	752	377	
80	35262	200	347	363	
81	35462	400	694	328	
82	36194	117	695	645	
83	36311	216	692	681	
84	36528	1949	618	384	
85	38476	650	592	375	
86	39126	416	708	390	
87	39542	167	693	334	
88	39709	383	338	317	
89	40092	366	678	294	
90	40458	500	472	329	
91	40958	266	728	438	
92	41224	283	700	725	
93	41507	216	520	611	
94	41724	666	715	336	
95	42390	283	559	400	
96	42673	366	293	691	
97	43040	316	686	356	
98	43356	583	446	307	
99	43939	883	700	360	
100	44822	183	688	346	
101	45005	350	351	630	
102	45355	300	683	367	
103	45655	250	463	353	
104	45904	333	327	330	
105	46237	450	321	254	
106	46687	433	727	255	
107	47120	266	744	712	
108	47387	300	315	717	
109	47687	600	532	387	
110	48286	500	722	330	
111	48786	483	605	370	
112	49269	1033	719	363	
113	50301	366	388	351	
114	50668	233	511	375	
115	50901	1016	460	414	
116	51917	516	338	318	
117	52433	300	717	690	
118	52733	566	737	294	
119	53299	450	616	307	
120	53749	683	321	701	
121	54432	566	718	306	
122	54998	233	675	335	
123	55231	200	805	385	
