Data properties:

Recording date: 2009/6/20
Recording time: 16:28:02:000 (corresponds to time 0)
Study: 1
Subject: ll
Recording: Rec 18
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
0	10	450	519	560	
1	460	216	361	617	
2	676	300	624	356	
3	976	266	659	709	
4	1242	1049	601	280	
5	2292	933	648	489	
6	3224	266	379	407	
7	3491	133	695	381	
8	3624	333	636	750	
9	3957	716	652	440	
10	4673	2498	698	452	
11	7172	333	402	737	
12	7505	283	361	319	
13	7788	283	689	339	
14	8071	383	560	579	
15	8454	566	698	379	
16	9020	117	760	379	
17	9137	100	729	542	
18	9237	833	710	426	
19	10070	233	389	383	
20	10303	383	348	713	
21	10686	183	688	676	
22	10869	433	657	399	
23	11302	550	515	524	
24	11852	100	701	536	
25	12102	83	898	378	
26	12185	133	874	408	
27	12318	550	683	458	
28	12868	300	374	333	
29	13167	433	324	719	
30	13601	266	706	667	
31	13867	583	712	301	
32	14450	100	882	444	
33	14550	100	739	347	
34	14650	217	721	382	
35	14866	500	664	399	
36	15366	216	355	366	
37	15582	183	675	313	
38	15766	450	375	722	
39	16215	300	673	717	
40	16515	599	604	334	
41	17115	100	769	389	
42	17398	83	708	413	
43	17481	600	696	477	
44	18081	250	361	352	
45	18331	250	688	306	
46	18580	366	557	689	
47	18947	333	706	344	
48	19280	533	385	396	
49	19813	316	704	545	
50	20129	799	642	496	
51	20929	233	397	351	
52	21162	583	619	749	
53	21745	666	553	382	
54	22411	100	763	503	
55	22511	217	711	508	
56	22727	350	625	505	
57	23077	266	555	513	
58	23344	316	349	369	
59	23660	266	656	703	
60	23927	216	594	597	
61	24143	999	563	469	
62	25142	716	647	457	
63	25858	316	398	364	
64	26175	267	428	672	
65	26442	350	642	453	
66	26791	200	688	641	
67	26991	699	583	424	
68	27691	200	598	337	
69	28074	83	707	468	
70	28157	416	700	512	
71	28573	266	410	325	
72	28840	300	407	672	
73	29140	466	603	497	
74	29606	583	689	393	
75	30189	216	753	383	
76	30405	233	695	408	
